"CountryName","male_contraception_knowledge","fertility_rate"
"Albania",96.4,57
"Angola",94.8,217.5
"Armenia",99.3,62.5
"Benin",93.3,186
"Burkina Faso",97.4,191
"Burundi",97.4,194.666666666667
"Cameroon",97.65,175
"Chad",76.9,230
"Colombia",99.8,72
"Comoros",99.1,142
"Congo",99.4,182
"Congo Democratic Republic",86.3,225
"Cote d'Ivoire",97.2,174
"Ethiopia",98.25,152
"Gabon",99.3,144
"Gambia",98.6,166.5
"Ghana",99.2,139.666666666667
"Guatemala",98.3,112
"Guinea",90.3,170.5
"Haiti",99.7,109
"Honduras",99.7,107
"India",97.9,81
"Indonesia",97.9,84
"Jordan",97.2,101
"Kenya",99.3,131.666666666667
"Kyrgyz Republic",97.6,125
"Lesotho",97.9,118
"Liberia",96.05,160.5
"Malawi",99.05,176.8
"Maldives",95.7,78
"Mali",95.7,218.333333333333
"Mozambique",100,193
"Myanmar",94.9,77
"Namibia",99.7,125
"Nepal",99.85,92
"Niger",88.3,269
"Nigeria",94.35,190
"Pakistan",95.7,127.5
"Papua New Guinea",88.9,142
"Rwanda",99.6333333333333,141.8
"Senegal",94.0142857142857,159.875
"Sierra Leone",97.2,157.333333333333
"South Africa",99.8,94
"Tanzania",98.8,180.25
"Timor-Leste",79.1,136
"Togo",98.3,159.5
"Uganda",99.5,196
"Zambia",99.3,173.5
"Zimbabwe",99.2,147
